134, Yuhtunga Jungle
135, Kazham
171, Altepa Desert
181, Dash de Chocobo [old]
190, The Sanctuary of Zi'Tah
191, Battle Theme #3
192, Battle in the Dungeon #3
193, Tough Battle #2
194, Raogrimm's Theme
195, Belief
196, Fighters of the Crystal
197, Tu'Lia
198, Eald'narche
199, Grav'iton
200, Kam'lanaut
201, End Theme
202, Quest Theme #1
203, Quest Theme #2
204, Quest Theme #3
205, Quest Completion
206, Yve'noile
207, Ve'Lugannon Palace
208, Rabao
209, Norg
210, Tu'Lia
211, Ro'Maeve
212, Dash de Chocobo
213, Hall of the Gods
