40, Cloister of Time and Souls - Atomos
41, Royal Wanderlust - Cait Sith's Theme
44, Where Lords Rule Not - Beastmen Stronghold 
140, Vana'diel March #5
141, The Cosmic Wheel - Sarutabaruta [S]
145, Encampment Dreams
180, Thunder of the March - Bastok Markets [S]
182, Stargazing - Windurust Waters [S]
215, Clash of Standards - Party Battle Theme (Outdoors)
216, On this Blade - Party Battle Theme (Dungeon)
217, Kindred Cry - Ghoyu's Reverie
246, March of the Allied Forces
247, Roar of the Battle Drums - Campaign Theme 
248, Young Griffons in Flight
249, Run Maggot, Run! - Campaign Operation
250, Under a Clouded Moon - Ruhotz Silvermines
251, Autumn Footfalls - East Ronfaure [S]
252, Flowers on the Battlefield - Rolanberry Fields [S]
253, Echoes of a Zephyr - North Gustaberg [S]
254, Griffons Never Die - South San d'Oria [S]
???, Snowdrift Waltz - Xarcabard [S] (No .DAT location)
???, Troubled Shadows - Castle Zvahl [S] (No .DAT location)
