218, Depths of the Soul
219, Onslaught
220, Turmoil
221, Moblin Menagerie - Movalpolos
222, Faded Memories - Promyvion
223, Conflict: March of the Hero
224, Dusk and Dawn
225, Words Unspoken - Pso'Xja
226, Conflict: You Want to Live Forever?
228, Gates of Paradise - The Garden of Ru'Hmet
229, Currents of Time - Manaclipper
230, A New Horizon - Tavnazian Archipelago
231, Nag'molada's Theme
232, The Ruler of the Skies
233, The Celestial Capital - Al'Taieu
234, Happily Ever After
235, First Ode: Nocturne of the Gods
236, Fourth Ode: Clouded Dawn
237, Third Ode: Memoria de la S^tona
238, A New Morning
239, Jeuno -Starlight Celebration-
240, Second Ode: Distant Promises
241, Fifth Ode: A Time for Prayer
242, Unity
243, Grav'iton's Theme
244, Yve'noile's Theme
245, The Forgotten City - Tavnazian Safehold
900, Chains of Promathia - End Theme [Vocal]
