1/3/10,10e
1/3/19,19e
1/3/20,20e
1/4/39,39e

1/4/82,82e
1/4/85,85e
1/4/87,87e
1/27/104,104
1/27/105,105
1/27/106,106
1/27/107,107
1/27/108,108
1/27/109,109
1/27/110,110
1/27/111,111
1/27/112,112
1/27/113,113
1/27/114,114
1/27/115,115
1/27/116,116
1/27/117,117
1/27/118,118
1/27/119,119
1/27/120,120
1/27/121,121
1/27/122,122
1/27/123,123
1/27/124,124
1/27/125,125
1/27/126,126
1/27/127,127
1/28/0,0
1/28/1,1
1/28/2,2
1/28/3,3
1/28/4,4
1/28/5,5
1/28/6,6
1/28/7,7
1/28/8,8
1/28/9,9
1/28/10,10
1/28/11,11
1/28/12,12
1/28/13,13
1/28/14,14
1/28/15,15
1/28/16,16
1/28/17,17
1/28/18,18
1/28/19,19
1/28/20,20
1/28/21,21
1/28/22,22
1/28/23,23
1/28/24,24
1/28/25,25
1/28/26,26
1/28/27,27
1/28/28,28
1/28/29,29
1/28/30,30
1/28/31,31
1/28/32,32
1/28/33,33
1/28/34,34
1/28/35,35
1/28/36,36
1/28/37,37
1/28/38,38
1/28/39,39
1/28/40,40
1/28/41,41
1/28/42,42
1/28/43,43
1/28/44,44
1/28/45,45
1/28/46,46
1/28/47,47
1/28/48,48
1/28/49,49
1/28/50,50
1/28/51,51
1/28/52,52
1/28/53,53
1/28/54,54
1/28/55,55
1/28/56,56
1/28/57,57
1/28/58,58
1/28/59,59
1/28/60,60
1/28/61,61
1/28/62,62
1/28/63,63
1/28/64,64
1/28/65,65
1/28/66,66
1/28/67,67
1/28/68,68
1/28/69,69
1/28/70,70
1/28/71,71
1/28/72,72
1/28/73,73
1/28/74,74
1/28/75,75
1/28/76,76
1/28/77,77
1/28/78,78
1/28/79,79
1/28/80,80
1/28/81,81
1/28/82,82
1/28/83,83
1/28/84,84
1/28/85,85
1/28/86,86
1/28/87,87
1/28/88,88
1/28/89,89
1/28/90,90
1/28/91,91
1/28/92,92
1/28/93,93
1/28/94,94
1/28/95,95
1/28/96,96
1/28/97,97
1/28/98,98
1/28/99,99
1/28/100,100
1/28/101,101
1/28/102,102
1/28/103,103
1/28/104,104
1/28/105,105
1/28/106,106
1/28/107,107
1/28/108,108
1/28/109,109
1/28/110,110
1/28/111,111
1/28/112,112
1/28/113,113
1/28/114,114
1/28/115,115
1/28/116,116
1/28/117,117
1/28/118,118
1/28/119,119
1/28/120,120
1/28/121,121
1/28/122,122
1/28/123,123
1/28/124,124
1/28/125,125
1/28/126,126
1/28/127,127
1/29/0,0
1/29/1,1
1/29/2,2
1/29/3,3
1/29/4,4
1/29/5,5
1/29/6,6
1/29/7,7
1/29/8,8
1/29/9,9
1/29/10,10
1/29/11,11
1/29/12,12
1/29/13,13
1/29/14,14
1/29/15,15
1/29/16,16
1/29/17,17
1/29/18,18
1/29/19,19
1/29/21,21
1/29/22,22
1/29/23,23
1/29/24,24
1/29/25,25
1/29/26,26
1/29/27,27
1/29/28,28
1/29/29,29
1/29/30,30
1/29/31,31
1/29/32,32
1/29/33,33
1/29/34,34
1/29/36,36
1/29/37,37
1/29/38,38
1/29/39,39
1/29/40,40
1/29/41,41
1/29/42,42
1/29/43,43
1/29/44,44
1/29/45,45
1/29/46,46
1/29/47,47
1/29/48,48
1/29/49,49
1/29/50,50
1/29/51,51
1/29/52,52
1/29/53,53
1/29/54,54
1/29/55,55
1/29/56,56
1/29/57,57
1/29/58,58
1/29/59,59
1/29/60,60
1/29/61,61
1/29/62,62
1/29/63,63
1/29/64,64
1/29/65,65
1/29/66,66
1/29/67,67
1/29/68,68
1/29/69,69
1/29/70,70
1/29/71,71
1/29/72,72
1/29/73,73
1/29/74,74
1/29/75,75
1/29/76,76
1/29/77,77
1/29/78,78
1/29/79,79
1/29/80,80
1/29/81,81
1/29/82,82
1/29/83,83
1/29/84,84
1/29/85,85
1/29/86,86
1/29/87,87
1/29/88,88
1/29/89,89
1/29/90,90
1/29/91,91
1/29/92,92
1/29/93,93
1/29/94,94
1/29/95,95
1/29/96,96
1/29/97,97
1/29/98,98
1/29/99,99
1/29/100,100
1/29/101,101
1/29/102,102
1/29/103,103
1/29/104,104
1/29/105,105
1/29/106,106
