1/3/10,10e
1/3/19,19e
1/3/20,20e
1/4/39,39e
1/4/82,82e
1/4/85,85e
1/4/87,87e
1/61/26,26
1/61/27,27
1/61/28,28
1/61/29,29
1/61/30,30
1/61/31,31
1/61/32,32
1/61/33,33
1/61/35,35
1/61/36,36
1/61/37,37
1/61/38,38
1/61/39,39
1/61/40,40
1/61/41,41
1/61/42,42
1/61/43,43
1/61/44,44
1/61/45,45
1/61/46,46
1/61/47,47
1/61/49,49
1/61/50,50
1/61/51,51
1/61/52,52
1/61/53,53
1/61/54,54
1/61/55,55
1/61/56,56
1/61/57,57
1/61/59,59
1/61/60,60
1/61/61,61
1/61/63,63
1/61/64,64
1/61/65,65
1/61/66,66
1/61/67,67
1/61/68,68
1/61/69,69
1/61/70,70
1/61/71,71
1/61/72,72
1/61/73,73
1/61/74,74
1/61/75,75
1/61/76,76
1/61/77,77
1/61/79,79
1/61/80,80
1/61/81,81
1/61/82,82
1/61/83,83
1/61/84,84
1/61/86,86
1/61/87,87
1/61/88,88
1/61/89,89
1/61/90,90
1/61/91,91
1/61/92,92
1/61/93,93
1/61/95,95
1/61/96,96
1/61/97,97
1/61/98,98
1/61/99,99
1/61/100,100
1/61/101,101
1/61/102,102
1/61/103,103
1/61/104,104
1/61/106,106
1/61/107,107
1/61/108,108
1/61/109,109
